model,mode_1,count_1,mode_2,count_2,total_pairs,winner,ratio,proportions
MadeAgents_Hammer2.1-7b,endorsementLine,1162,original,30,2,endorsementLine,38.73,97.48% vs 2.52%
MadeAgents_Hammer2.1-7b,fusion,829,original,299,2,fusion,2.77,73.49% vs 26.51%
MadeAgents_Hammer2.1-7b,addExample,846,original,324,2,addExample,2.61,72.31% vs 27.69%
MadeAgents_Hammer2.1-7b,companyName,888,original,414,2,companyName,2.14,68.20% vs 31.80%
MadeAgents_Hammer2.1-7b,maintenanceLine,813,original,460,2,maintenanceLine,1.77,63.86% vs 36.14%
MadeAgents_Hammer2.1-7b,numbersLine,724,original,611,2,numbersLine,1.18,54.23% vs 45.77%
MadeAgents_Hammer2.1-7b,increaseLength,534,original,614,2,original,1.15,46.52% vs 53.48%
MadeAgents_Hammer2.1-7b,makeCasual,653,original,566,2,makeCasual,1.15,53.57% vs 46.43%
MadeAgents_Hammer2.1-7b,makeProfessional,627,original,586,2,tie,1.07,51.69% vs 48.31%
MadeAgents_Hammer2.1-7b,endorsementLine,1145,maintenanceLine,48,2,endorsementLine,23.85,95.98% vs 4.02%
MadeAgents_Hammer2.1-7b,endorsementLine,1131,makeProfessional,55,2,endorsementLine,20.56,95.36% vs 4.64%
MadeAgents_Hammer2.1-7b,endorsementLine,1125,makeCasual,61,2,endorsementLine,18.44,94.86% vs 5.14%
MadeAgents_Hammer2.1-7b,endorsementLine,1155,numbersLine,73,2,endorsementLine,15.82,94.06% vs 5.94%
MadeAgents_Hammer2.1-7b,endorsementLine,1068,increaseLength,75,2,endorsementLine,14.24,93.44% vs 6.56%
MadeAgents_Hammer2.1-7b,companyName,85,endorsementLine,1134,2,endorsementLine,13.34,6.97% vs 93.03%
MadeAgents_Hammer2.1-7b,fusion,948,increaseLength,184,2,fusion,5.15,83.75% vs 16.25%
MadeAgents_Hammer2.1-7b,addExample,240,endorsementLine,920,2,endorsementLine,3.83,20.69% vs 79.31%
MadeAgents_Hammer2.1-7b,fusion,904,makeProfessional,247,2,fusion,3.66,78.54% vs 21.46%
MadeAgents_Hammer2.1-7b,companyName,907,increaseLength,262,2,companyName,3.46,77.59% vs 22.41%
MadeAgents_Hammer2.1-7b,fusion,883,makeCasual,267,2,fusion,3.31,76.78% vs 23.22%
MadeAgents_Hammer2.1-7b,companyName,292,fusion,851,2,fusion,2.91,25.55% vs 74.45%
MadeAgents_Hammer2.1-7b,fusion,851,numbersLine,292,2,fusion,2.91,74.45% vs 25.55%
MadeAgents_Hammer2.1-7b,addExample,851,increaseLength,297,2,addExample,2.87,74.13% vs 25.87%
MadeAgents_Hammer2.1-7b,fusion,837,maintenanceLine,294,2,fusion,2.85,74.01% vs 25.99%
MadeAgents_Hammer2.1-7b,increaseLength,324,maintenanceLine,854,2,maintenanceLine,2.64,27.50% vs 72.50%
MadeAgents_Hammer2.1-7b,addExample,841,makeProfessional,325,2,addExample,2.59,72.13% vs 27.87%
MadeAgents_Hammer2.1-7b,companyName,877,makeProfessional,346,2,companyName,2.53,71.71% vs 28.29%
MadeAgents_Hammer2.1-7b,addExample,807,makeCasual,367,2,addExample,2.2,68.74% vs 31.26%
MadeAgents_Hammer2.1-7b,companyName,840,makeCasual,389,2,companyName,2.16,68.35% vs 31.65%
MadeAgents_Hammer2.1-7b,maintenanceLine,810,makeProfessional,407,2,maintenanceLine,1.99,66.56% vs 33.44%
MadeAgents_Hammer2.1-7b,addExample,386,fusion,750,2,fusion,1.94,33.98% vs 66.02%
MadeAgents_Hammer2.1-7b,maintenanceLine,779,makeCasual,442,2,maintenanceLine,1.76,63.80% vs 36.20%
MadeAgents_Hammer2.1-7b,addExample,762,numbersLine,436,2,addExample,1.75,63.61% vs 36.39%
MadeAgents_Hammer2.1-7b,increaseLength,457,numbersLine,713,2,numbersLine,1.56,39.06% vs 60.94%
MadeAgents_Hammer2.1-7b,increaseLength,497,makeCasual,671,2,makeCasual,1.35,42.55% vs 57.45%
MadeAgents_Hammer2.1-7b,increaseLength,503,makeProfessional,643,2,makeProfessional,1.28,43.89% vs 56.11%
MadeAgents_Hammer2.1-7b,addExample,542,companyName,636,2,companyName,1.17,46.01% vs 53.99%
MadeAgents_Hammer2.1-7b,endorsementLine,617,fusion,527,2,endorsementLine,1.17,53.93% vs 46.07%
MadeAgents_Hammer2.1-7b,companyName,646,numbersLine,709,2,tie,1.1,47.68% vs 52.32%
MadeAgents_Hammer2.1-7b,makeProfessional,593,numbersLine,654,2,numbersLine,1.1,47.55% vs 52.45%
MadeAgents_Hammer2.1-7b,addExample,605,maintenanceLine,568,2,tie,1.07,51.58% vs 48.42%
MadeAgents_Hammer2.1-7b,makeCasual,604,numbersLine,644,2,tie,1.07,48.40% vs 51.60%
MadeAgents_Hammer2.1-7b,companyName,693,maintenanceLine,661,2,tie,1.05,51.18% vs 48.82%
MadeAgents_Hammer2.1-7b,makeCasual,616,makeProfessional,601,2,tie,1.02,50.62% vs 49.38%
MadeAgents_Hammer2.1-7b,maintenanceLine,676,numbersLine,681,2,tie,1.01,49.82% vs 50.18%
