model,mode_1,count_1,mode_2,count_2,total_pairs,winner,ratio,proportions,p_value,significant
Qwen_Qwen2.5-0.5B-Instruct-FC,fusion,362,original,523,2,original,1.440,40.90% vs 59.10%,1.95e-14,True
Qwen_Qwen2.5-0.5B-Instruct-FC,addExample,414,original,483,2,original,1.170,46.15% vs 53.85%,1.12e-03,True
Qwen_Qwen2.5-0.5B-Instruct-FC,increaseLength,419,original,448,2,tie,1.070,48.33% vs 51.67%,1.64e-01,False
Qwen_Qwen2.5-0.5B-Instruct-FC,endorsementLine,481,original,452,2,tie,1.060,51.55% vs 48.45%,1.79e-01,False
Qwen_Qwen2.5-0.5B-Instruct-FC,makeProfessional,477,original,456,2,tie,1.050,51.13% vs 48.87%,3.31e-01,False
Qwen_Qwen2.5-0.5B-Instruct-FC,numbersLine,471,original,462,2,tie,1.020,50.48% vs 49.52%,6.77e-01,False
Qwen_Qwen2.5-0.5B-Instruct-FC,makeCasual,464,original,467,2,tie,1.010,49.84% vs 50.16%,8.89e-01,False
Qwen_Qwen2.5-0.5B-Instruct-FC,companyName,466,original,464,2,tie,1.000,50.11% vs 49.89%,9.26e-01,False
Qwen_Qwen2.5-0.5B-Instruct-FC,maintenanceLine,466,original,465,2,tie,1.000,50.05% vs 49.95%,9.63e-01,False
Qwen_Qwen2.5-0.5B-Instruct-FC,endorsementLine,546,fusion,340,2,endorsementLine,1.610,61.63% vs 38.37%,1.28e-22,True
Qwen_Qwen2.5-0.5B-Instruct-FC,fusion,346,maintenanceLine,510,2,maintenanceLine,1.470,40.42% vs 59.58%,2.24e-15,True
Qwen_Qwen2.5-0.5B-Instruct-FC,fusion,349,makeProfessional,514,2,makeProfessional,1.470,40.44% vs 59.56%,1.97e-15,True
Qwen_Qwen2.5-0.5B-Instruct-FC,companyName,522,fusion,358,2,companyName,1.460,59.32% vs 40.68%,5.35e-15,True
Qwen_Qwen2.5-0.5B-Instruct-FC,fusion,365,numbersLine,511,2,numbersLine,1.400,41.67% vs 58.33%,3.03e-12,True
Qwen_Qwen2.5-0.5B-Instruct-FC,fusion,362,increaseLength,504,2,increaseLength,1.390,41.80% vs 58.20%,8.85e-12,True
Qwen_Qwen2.5-0.5B-Instruct-FC,fusion,368,makeCasual,505,2,makeCasual,1.370,42.15% vs 57.85%,5.48e-11,True
Qwen_Qwen2.5-0.5B-Instruct-FC,addExample,390,makeProfessional,505,2,makeProfessional,1.290,43.58% vs 56.42%,5.44e-08,True
Qwen_Qwen2.5-0.5B-Instruct-FC,addExample,409,endorsementLine,511,2,endorsementLine,1.250,44.46% vs 55.54%,1.98e-06,True
Qwen_Qwen2.5-0.5B-Instruct-FC,addExample,388,increaseLength,483,2,increaseLength,1.240,44.55% vs 55.45%,5.31e-06,True
Qwen_Qwen2.5-0.5B-Instruct-FC,addExample,413,numbersLine,490,2,numbersLine,1.190,45.74% vs 54.26%,2.90e-04,True
Qwen_Qwen2.5-0.5B-Instruct-FC,addExample,404,companyName,478,2,companyName,1.180,45.80% vs 54.20%,4.25e-04,True
Qwen_Qwen2.5-0.5B-Instruct-FC,addExample,428,makeCasual,498,2,makeCasual,1.160,46.22% vs 53.78%,1.14e-03,True
Qwen_Qwen2.5-0.5B-Instruct-FC,addExample,456,fusion,401,2,addExample,1.140,53.21% vs 46.79%,7.88e-03,True
Qwen_Qwen2.5-0.5B-Instruct-FC,addExample,434,maintenanceLine,475,2,tie,1.090,47.74% vs 52.26%,5.45e-02,False
Qwen_Qwen2.5-0.5B-Instruct-FC,makeCasual,438,makeProfessional,478,2,tie,1.090,47.82% vs 52.18%,6.16e-02,False
Qwen_Qwen2.5-0.5B-Instruct-FC,endorsementLine,455,makeProfessional,481,2,tie,1.060,48.61% vs 51.39%,2.29e-01,False
Qwen_Qwen2.5-0.5B-Instruct-FC,endorsementLine,480,makeCasual,455,2,tie,1.050,51.34% vs 48.66%,2.48e-01,False
Qwen_Qwen2.5-0.5B-Instruct-FC,makeCasual,451,numbersLine,473,2,tie,1.050,48.81% vs 51.19%,3.06e-01,False
Qwen_Qwen2.5-0.5B-Instruct-FC,companyName,463,endorsementLine,478,2,tie,1.030,49.20% vs 50.80%,4.89e-01,False
Qwen_Qwen2.5-0.5B-Instruct-FC,endorsementLine,463,numbersLine,476,2,tie,1.030,49.31% vs 50.69%,5.49e-01,False
Qwen_Qwen2.5-0.5B-Instruct-FC,endorsementLine,445,increaseLength,431,2,tie,1.030,50.80% vs 49.20%,5.04e-01,False
Qwen_Qwen2.5-0.5B-Instruct-FC,increaseLength,445,maintenanceLine,434,2,tie,1.030,50.63% vs 49.37%,6.00e-01,False
Qwen_Qwen2.5-0.5B-Instruct-FC,increaseLength,452,numbersLine,439,2,tie,1.030,50.73% vs 49.27%,5.38e-01,False
Qwen_Qwen2.5-0.5B-Instruct-FC,maintenanceLine,455,makeProfessional,469,2,tie,1.030,49.24% vs 50.76%,5.15e-01,False
Qwen_Qwen2.5-0.5B-Instruct-FC,companyName,432,increaseLength,423,2,tie,1.020,50.53% vs 49.47%,6.63e-01,False
Qwen_Qwen2.5-0.5B-Instruct-FC,companyName,467,maintenanceLine,459,2,tie,1.020,50.43% vs 49.57%,7.10e-01,False
Qwen_Qwen2.5-0.5B-Instruct-FC,endorsementLine,471,maintenanceLine,461,2,tie,1.020,50.54% vs 49.46%,6.43e-01,False
Qwen_Qwen2.5-0.5B-Instruct-FC,increaseLength,445,makeCasual,437,2,tie,1.020,50.45% vs 49.55%,7.03e-01,False
Qwen_Qwen2.5-0.5B-Instruct-FC,increaseLength,416,makeProfessional,425,2,tie,1.020,49.46% vs 50.54%,6.61e-01,False
Qwen_Qwen2.5-0.5B-Instruct-FC,makeProfessional,470,numbersLine,459,2,tie,1.020,50.59% vs 49.41%,6.10e-01,False
Qwen_Qwen2.5-0.5B-Instruct-FC,companyName,469,makeCasual,465,2,tie,1.010,50.21% vs 49.79%,8.53e-01,False
Qwen_Qwen2.5-0.5B-Instruct-FC,companyName,466,makeProfessional,467,2,tie,1.000,49.95% vs 50.05%,9.63e-01,False
Qwen_Qwen2.5-0.5B-Instruct-FC,companyName,464,numbersLine,462,2,tie,1.000,50.11% vs 49.89%,9.26e-01,False
Qwen_Qwen2.5-0.5B-Instruct-FC,maintenanceLine,467,numbersLine,466,2,tie,1.000,50.05% vs 49.95%,9.63e-01,False
Qwen_Qwen2.5-0.5B-Instruct-FC,maintenanceLine,466,makeCasual,468,2,tie,1.000,49.89% vs 50.11%,9.26e-01,False
