model,mode_1,count_1,mode_2,count_2,total_pairs,winner,ratio,proportions,p_value,significant
Qwen_Qwen2.5-32B-Instruct-FC,endorsementLine,1196,original,0,2,endorsementLine,inf,100.00% vs 0.00%,0.00e+00,True
Qwen_Qwen2.5-32B-Instruct-FC,maintenanceLine,1192,original,3,2,maintenanceLine,397.330,99.75% vs 0.25%,0.00e+00,True
Qwen_Qwen2.5-32B-Instruct-FC,fusion,1146,original,3,2,fusion,382.000,99.74% vs 0.26%,0.00e+00,True
Qwen_Qwen2.5-32B-Instruct-FC,addExample,946,original,226,2,addExample,4.190,80.72% vs 19.28%,2.14e-194,True
Qwen_Qwen2.5-32B-Instruct-FC,companyName,883,original,321,2,companyName,2.750,73.34% vs 26.66%,4.10e-116,True
Qwen_Qwen2.5-32B-Instruct-FC,increaseLength,808,original,377,2,increaseLength,2.140,68.19% vs 31.81%,3.73e-70,True
Qwen_Qwen2.5-32B-Instruct-FC,numbersLine,640,original,561,2,numbersLine,1.140,53.29% vs 46.71%,1.26e-03,True
Qwen_Qwen2.5-32B-Instruct-FC,makeCasual,623,original,570,2,tie,1.090,52.22% vs 47.78%,3.00e-02,False
Qwen_Qwen2.5-32B-Instruct-FC,makeProfessional,617,original,575,2,tie,1.070,51.76% vs 48.24%,8.54e-02,False
Qwen_Qwen2.5-32B-Instruct-FC,endorsementLine,1199,makeCasual,0,2,endorsementLine,inf,100.00% vs 0.00%,0.00e+00,True
Qwen_Qwen2.5-32B-Instruct-FC,endorsementLine,1194,makeProfessional,0,2,endorsementLine,inf,100.00% vs 0.00%,0.00e+00,True
Qwen_Qwen2.5-32B-Instruct-FC,companyName,1,endorsementLine,1202,2,endorsementLine,1202.000,0.08% vs 99.92%,0.00e+00,True
Qwen_Qwen2.5-32B-Instruct-FC,endorsementLine,1202,numbersLine,1,2,endorsementLine,1202.000,99.92% vs 0.08%,0.00e+00,True
Qwen_Qwen2.5-32B-Instruct-FC,fusion,1166,increaseLength,1,2,fusion,1166.000,99.91% vs 0.09%,0.00e+00,True
Qwen_Qwen2.5-32B-Instruct-FC,fusion,1164,maintenanceLine,3,2,fusion,388.000,99.74% vs 0.26%,0.00e+00,True
