model,mode_1,count_1,mode_2,count_2,total_pairs,winner,ratio,proportions
Qwen_Qwen2.5-7B-Instruct-FC,endorsementLine,1099,original,58,2,endorsementLine,18.95,94.99% vs 5.01%
Qwen_Qwen2.5-7B-Instruct-FC,fusion,1035,original,71,2,fusion,14.58,93.58% vs 6.42%
Qwen_Qwen2.5-7B-Instruct-FC,maintenanceLine,902,original,253,2,maintenanceLine,3.57,78.10% vs 21.90%
Qwen_Qwen2.5-7B-Instruct-FC,addExample,754,original,388,2,addExample,1.94,66.02% vs 33.98%
Qwen_Qwen2.5-7B-Instruct-FC,increaseLength,631,original,508,2,increaseLength,1.24,55.40% vs 44.60%
Qwen_Qwen2.5-7B-Instruct-FC,companyName,598,original,560,2,tie,1.07,51.64% vs 48.36%
Qwen_Qwen2.5-7B-Instruct-FC,numbersLine,592,original,566,2,tie,1.05,51.12% vs 48.88%
Qwen_Qwen2.5-7B-Instruct-FC,makeProfessional,590,original,567,2,tie,1.04,50.99% vs 49.01%
Qwen_Qwen2.5-7B-Instruct-FC,makeCasual,582,original,576,2,tie,1.01,50.26% vs 49.74%
Qwen_Qwen2.5-7B-Instruct-FC,fusion,1061,makeCasual,60,2,fusion,17.68,94.65% vs 5.35%
Qwen_Qwen2.5-7B-Instruct-FC,endorsementLine,1094,makeProfessional,64,2,endorsementLine,17.09,94.47% vs 5.53%
Qwen_Qwen2.5-7B-Instruct-FC,companyName,65,endorsementLine,1094,2,endorsementLine,16.83,5.61% vs 94.39%
Qwen_Qwen2.5-7B-Instruct-FC,fusion,1059,makeProfessional,63,2,fusion,16.81,94.39% vs 5.61%
Qwen_Qwen2.5-7B-Instruct-FC,endorsementLine,1089,maintenanceLine,67,2,endorsementLine,16.25,94.20% vs 5.80%
Qwen_Qwen2.5-7B-Instruct-FC,fusion,1041,increaseLength,68,2,fusion,15.31,93.87% vs 6.13%
Qwen_Qwen2.5-7B-Instruct-FC,endorsementLine,1086,numbersLine,77,2,endorsementLine,14.1,93.38% vs 6.62%
Qwen_Qwen2.5-7B-Instruct-FC,companyName,75,fusion,1054,2,fusion,14.05,6.64% vs 93.36%
Qwen_Qwen2.5-7B-Instruct-FC,endorsementLine,1062,makeCasual,90,2,endorsementLine,11.8,92.19% vs 7.81%
Qwen_Qwen2.5-7B-Instruct-FC,fusion,1011,numbersLine,99,2,fusion,10.21,91.08% vs 8.92%
Qwen_Qwen2.5-7B-Instruct-FC,fusion,1009,maintenanceLine,104,2,fusion,9.7,90.66% vs 9.34%
Qwen_Qwen2.5-7B-Instruct-FC,endorsementLine,983,increaseLength,155,2,endorsementLine,6.34,86.38% vs 13.62%
Qwen_Qwen2.5-7B-Instruct-FC,addExample,164,fusion,930,2,fusion,5.67,14.99% vs 85.01%
Qwen_Qwen2.5-7B-Instruct-FC,addExample,191,endorsementLine,940,2,endorsementLine,4.92,16.89% vs 83.11%
Qwen_Qwen2.5-7B-Instruct-FC,maintenanceLine,775,makeProfessional,379,2,maintenanceLine,2.04,67.16% vs 32.84%
Qwen_Qwen2.5-7B-Instruct-FC,maintenanceLine,758,makeCasual,396,2,maintenanceLine,1.91,65.68% vs 34.32%
Qwen_Qwen2.5-7B-Instruct-FC,addExample,730,increaseLength,393,2,addExample,1.86,65.00% vs 35.00%
Qwen_Qwen2.5-7B-Instruct-FC,addExample,717,companyName,408,2,addExample,1.76,63.73% vs 36.27%
