model,mode_1,count_1,mode_2,count_2,total_pairs,winner,ratio,proportions
Salesforce_Llama-xLAM-2-8b-fc-r,endorsementLine,994,original,150,2,endorsementLine,6.63,86.89% vs 13.11%
Salesforce_Llama-xLAM-2-8b-fc-r,fusion,782,original,279,2,fusion,2.8,73.70% vs 26.30%
Salesforce_Llama-xLAM-2-8b-fc-r,addExample,674,original,439,2,addExample,1.54,60.56% vs 39.44%
Salesforce_Llama-xLAM-2-8b-fc-r,maintenanceLine,673,original,559,2,maintenanceLine,1.2,54.63% vs 45.37%
Salesforce_Llama-xLAM-2-8b-fc-r,numbersLine,744,original,620,2,numbersLine,1.2,54.55% vs 45.45%
Salesforce_Llama-xLAM-2-8b-fc-r,companyName,730,original,612,2,companyName,1.19,54.40% vs 45.60%
Salesforce_Llama-xLAM-2-8b-fc-r,increaseLength,637,original,541,2,increaseLength,1.18,54.07% vs 45.93%
Salesforce_Llama-xLAM-2-8b-fc-r,makeProfessional,626,original,578,2,tie,1.08,51.99% vs 48.01%
Salesforce_Llama-xLAM-2-8b-fc-r,makeCasual,616,original,588,2,tie,1.05,51.16% vs 48.84%
Salesforce_Llama-xLAM-2-8b-fc-r,endorsementLine,943,increaseLength,168,2,endorsementLine,5.61,84.88% vs 15.12%
Salesforce_Llama-xLAM-2-8b-fc-r,endorsementLine,929,makeCasual,212,2,endorsementLine,4.38,81.42% vs 18.58%
Salesforce_Llama-xLAM-2-8b-fc-r,endorsementLine,924,makeProfessional,215,2,endorsementLine,4.3,81.12% vs 18.88%
Salesforce_Llama-xLAM-2-8b-fc-r,endorsementLine,928,maintenanceLine,226,2,endorsementLine,4.11,80.42% vs 19.58%
Salesforce_Llama-xLAM-2-8b-fc-r,addExample,229,fusion,811,2,fusion,3.54,22.02% vs 77.98%
Salesforce_Llama-xLAM-2-8b-fc-r,fusion,826,increaseLength,235,2,fusion,3.51,77.85% vs 22.15%
Salesforce_Llama-xLAM-2-8b-fc-r,addExample,250,endorsementLine,855,2,endorsementLine,3.42,22.62% vs 77.38%
Salesforce_Llama-xLAM-2-8b-fc-r,companyName,281,endorsementLine,933,2,endorsementLine,3.32,23.15% vs 76.85%
Salesforce_Llama-xLAM-2-8b-fc-r,fusion,777,makeCasual,315,2,fusion,2.47,71.15% vs 28.85%
Salesforce_Llama-xLAM-2-8b-fc-r,endorsementLine,855,numbersLine,367,2,endorsementLine,2.33,69.97% vs 30.03%
Salesforce_Llama-xLAM-2-8b-fc-r,fusion,750,makeProfessional,326,2,fusion,2.3,69.70% vs 30.30%
Salesforce_Llama-xLAM-2-8b-fc-r,companyName,337,fusion,743,2,fusion,2.2,31.20% vs 68.80%
Salesforce_Llama-xLAM-2-8b-fc-r,fusion,714,maintenanceLine,352,2,fusion,2.03,66.98% vs 33.02%
Salesforce_Llama-xLAM-2-8b-fc-r,fusion,716,numbersLine,376,2,fusion,1.9,65.57% vs 34.43%
Salesforce_Llama-xLAM-2-8b-fc-r,increaseLength,487,maintenanceLine,696,2,maintenanceLine,1.43,41.17% vs 58.83%
Salesforce_Llama-xLAM-2-8b-fc-r,addExample,650,makeCasual,477,2,addExample,1.36,57.68% vs 42.32%
Salesforce_Llama-xLAM-2-8b-fc-r,endorsementLine,608,fusion,449,2,endorsementLine,1.35,57.52% vs 42.48%
Salesforce_Llama-xLAM-2-8b-fc-r,addExample,626,increaseLength,483,2,addExample,1.3,56.45% vs 43.55%
Salesforce_Llama-xLAM-2-8b-fc-r,addExample,631,makeProfessional,487,2,addExample,1.3,56.44% vs 43.56%
Salesforce_Llama-xLAM-2-8b-fc-r,addExample,647,numbersLine,502,2,addExample,1.29,56.31% vs 43.69%
Salesforce_Llama-xLAM-2-8b-fc-r,maintenanceLine,673,makeCasual,542,2,maintenanceLine,1.24,55.39% vs 44.61%
Salesforce_Llama-xLAM-2-8b-fc-r,addExample,629,companyName,517,2,addExample,1.22,54.89% vs 45.11%
Salesforce_Llama-xLAM-2-8b-fc-r,companyName,720,makeProfessional,623,2,companyName,1.16,53.61% vs 46.39%
Salesforce_Llama-xLAM-2-8b-fc-r,addExample,520,maintenanceLine,598,2,maintenanceLine,1.15,46.51% vs 53.49%
Salesforce_Llama-xLAM-2-8b-fc-r,makeProfessional,634,numbersLine,731,2,numbersLine,1.15,46.45% vs 53.55%
Salesforce_Llama-xLAM-2-8b-fc-r,companyName,662,increaseLength,587,2,companyName,1.13,53.00% vs 47.00%
Salesforce_Llama-xLAM-2-8b-fc-r,companyName,704,makeCasual,623,2,companyName,1.13,53.05% vs 46.95%
Salesforce_Llama-xLAM-2-8b-fc-r,maintenanceLine,662,numbersLine,747,2,numbersLine,1.13,46.98% vs 53.02%
Salesforce_Llama-xLAM-2-8b-fc-r,makeCasual,623,numbersLine,705,2,numbersLine,1.13,46.91% vs 53.09%
Salesforce_Llama-xLAM-2-8b-fc-r,companyName,742,maintenanceLine,663,2,companyName,1.12,52.81% vs 47.19%
Salesforce_Llama-xLAM-2-8b-fc-r,maintenanceLine,645,makeProfessional,574,2,maintenanceLine,1.12,52.91% vs 47.09%
Salesforce_Llama-xLAM-2-8b-fc-r,increaseLength,610,numbersLine,676,2,numbersLine,1.11,47.43% vs 52.57%
Salesforce_Llama-xLAM-2-8b-fc-r,companyName,781,numbersLine,739,2,tie,1.06,51.38% vs 48.62%
Salesforce_Llama-xLAM-2-8b-fc-r,increaseLength,607,makeCasual,601,2,tie,1.01,50.25% vs 49.75%
Salesforce_Llama-xLAM-2-8b-fc-r,increaseLength,590,makeProfessional,588,2,tie,1.0,50.08% vs 49.92%
Salesforce_Llama-xLAM-2-8b-fc-r,makeCasual,619,makeProfessional,619,2,tie,1.0,50.00% vs 50.00%
