model,mode_1,count_1,mode_2,count_2,total_pairs,winner,ratio,proportions
Team-ACE_ToolACE-2-8B,endorsementLine,857,original,249,2,endorsementLine,3.44,77.49% vs 22.51%
Team-ACE_ToolACE-2-8B,fusion,654,original,225,2,fusion,2.91,74.40% vs 25.60%
Team-ACE_ToolACE-2-8B,addExample,658,original,381,2,addExample,1.73,63.33% vs 36.67%
Team-ACE_ToolACE-2-8B,increaseLength,603,original,516,2,increaseLength,1.17,53.89% vs 46.11%
Team-ACE_ToolACE-2-8B,maintenanceLine,543,original,533,2,tie,1.02,50.46% vs 49.54%
Team-ACE_ToolACE-2-8B,makeCasual,549,original,537,2,tie,1.02,50.55% vs 49.45%
Team-ACE_ToolACE-2-8B,makeProfessional,543,original,534,2,tie,1.02,50.42% vs 49.58%
Team-ACE_ToolACE-2-8B,numbersLine,536,original,544,2,tie,1.01,49.63% vs 50.37%
Team-ACE_ToolACE-2-8B,companyName,545,original,547,2,tie,1.0,49.91% vs 50.09%
Team-ACE_ToolACE-2-8B,endorsementLine,819,makeCasual,295,2,endorsementLine,2.78,73.52% vs 26.48%
Team-ACE_ToolACE-2-8B,endorsementLine,806,makeProfessional,300,2,endorsementLine,2.69,72.88% vs 27.12%
Team-ACE_ToolACE-2-8B,companyName,244,fusion,655,2,fusion,2.68,27.14% vs 72.86%
Team-ACE_ToolACE-2-8B,companyName,310,endorsementLine,810,2,endorsementLine,2.61,27.68% vs 72.32%
Team-ACE_ToolACE-2-8B,fusion,628,maintenanceLine,241,2,fusion,2.61,72.27% vs 27.73%
Team-ACE_ToolACE-2-8B,fusion,658,numbersLine,255,2,fusion,2.58,72.07% vs 27.93%
Team-ACE_ToolACE-2-8B,fusion,641,makeCasual,250,2,fusion,2.56,71.94% vs 28.06%
Team-ACE_ToolACE-2-8B,fusion,633,makeProfessional,258,2,fusion,2.45,71.04% vs 28.96%
Team-ACE_ToolACE-2-8B,addExample,183,fusion,427,2,fusion,2.33,30.00% vs 70.00%
Team-ACE_ToolACE-2-8B,endorsementLine,772,maintenanceLine,335,2,endorsementLine,2.3,69.74% vs 30.26%
Team-ACE_ToolACE-2-8B,fusion,607,increaseLength,273,2,fusion,2.22,68.98% vs 31.02%
Team-ACE_ToolACE-2-8B,endorsementLine,765,numbersLine,350,2,endorsementLine,2.19,68.61% vs 31.39%
Team-ACE_ToolACE-2-8B,endorsementLine,738,increaseLength,386,2,endorsementLine,1.91,65.66% vs 34.34%
Team-ACE_ToolACE-2-8B,addExample,653,numbersLine,368,2,addExample,1.77,63.96% vs 36.04%
Team-ACE_ToolACE-2-8B,addExample,652,companyName,383,2,addExample,1.7,63.00% vs 37.00%
Team-ACE_ToolACE-2-8B,addExample,652,makeCasual,388,2,addExample,1.68,62.69% vs 37.31%
Team-ACE_ToolACE-2-8B,addExample,638,maintenanceLine,398,2,addExample,1.6,61.58% vs 38.42%
Team-ACE_ToolACE-2-8B,addExample,634,makeProfessional,398,2,addExample,1.59,61.43% vs 38.57%
Team-ACE_ToolACE-2-8B,addExample,435,endorsementLine,624,2,endorsementLine,1.43,41.08% vs 58.92%
Team-ACE_ToolACE-2-8B,endorsementLine,381,fusion,534,2,fusion,1.4,41.64% vs 58.36%
Team-ACE_ToolACE-2-8B,addExample,545,increaseLength,427,2,addExample,1.28,56.07% vs 43.93%
Team-ACE_ToolACE-2-8B,increaseLength,612,maintenanceLine,514,2,increaseLength,1.19,54.35% vs 45.65%
Team-ACE_ToolACE-2-8B,increaseLength,605,makeProfessional,514,2,increaseLength,1.18,54.07% vs 45.93%
Team-ACE_ToolACE-2-8B,companyName,511,increaseLength,597,2,increaseLength,1.17,46.12% vs 53.88%
Team-ACE_ToolACE-2-8B,increaseLength,599,numbersLine,512,2,increaseLength,1.17,53.92% vs 46.08%
Team-ACE_ToolACE-2-8B,increaseLength,595,makeCasual,515,2,increaseLength,1.16,53.60% vs 46.40%
Team-ACE_ToolACE-2-8B,companyName,543,makeCasual,562,2,tie,1.03,49.14% vs 50.86%
Team-ACE_ToolACE-2-8B,maintenanceLine,549,numbersLine,531,2,tie,1.03,50.83% vs 49.17%
Team-ACE_ToolACE-2-8B,companyName,551,numbersLine,542,2,tie,1.02,50.41% vs 49.59%
Team-ACE_ToolACE-2-8B,maintenanceLine,558,makeCasual,546,2,tie,1.02,50.54% vs 49.46%
Team-ACE_ToolACE-2-8B,makeCasual,554,numbersLine,542,2,tie,1.02,50.55% vs 49.45%
Team-ACE_ToolACE-2-8B,companyName,545,maintenanceLine,553,2,tie,1.01,49.64% vs 50.36%
Team-ACE_ToolACE-2-8B,companyName,551,makeProfessional,554,2,tie,1.01,49.86% vs 50.14%
Team-ACE_ToolACE-2-8B,makeCasual,541,makeProfessional,546,2,tie,1.01,49.77% vs 50.23%
Team-ACE_ToolACE-2-8B,maintenanceLine,542,makeProfessional,548,2,tie,1.01,49.72% vs 50.28%
Team-ACE_ToolACE-2-8B,makeProfessional,552,numbersLine,544,2,tie,1.01,50.36% vs 49.64%
