model,mode_1,count_1,mode_2,count_2,total_pairs,winner,ratio,proportions
MadeAgents_Hammer2.1-7b,endorsementLine,1162,original,30,2,endorsementLine,38.73,97.48% vs 2.52%
meta-llama_Llama-3.1-8B-Instruct,endorsementLine,1117,original,31,2,endorsementLine,36.03,97.30% vs 2.70%
Qwen_Qwen2.5-7B-Instruct-FC,endorsementLine,1099,original,58,2,endorsementLine,18.95,94.99% vs 5.01%
Qwen_Qwen2.5-7B-Instruct-FC,fusion,1035,original,71,2,fusion,14.58,93.58% vs 6.42%
meta-llama_Llama-3.1-8B-Instruct,fusion,360,original,43,2,fusion,8.37,89.33% vs 10.67%
Salesforce_Llama-xLAM-2-8b-fc-r,endorsementLine,994,original,150,2,endorsementLine,6.63,86.89% vs 13.11%
Qwen_Qwen2.5-7B-Instruct-FC,maintenanceLine,902,original,253,2,maintenanceLine,3.57,78.10% vs 21.90%
Team-ACE_ToolACE-2-8B,endorsementLine,857,original,249,2,endorsementLine,3.44,77.49% vs 22.51%
Team-ACE_ToolACE-2-8B,fusion,654,original,225,2,fusion,2.91,74.40% vs 25.60%
Salesforce_Llama-xLAM-2-8b-fc-r,fusion,782,original,279,2,fusion,2.8,73.70% vs 26.30%
MadeAgents_Hammer2.1-7b,fusion,829,original,299,2,fusion,2.77,73.49% vs 26.51%
MadeAgents_Hammer2.1-7b,addExample,846,original,324,2,addExample,2.61,72.31% vs 27.69%
meta-llama_Llama-3.1-8B-Instruct,addExample,663,original,294,2,addExample,2.26,69.28% vs 30.72%
meta-llama_Llama-3.1-8B-Instruct,maintenanceLine,807,original,376,2,maintenanceLine,2.15,68.22% vs 31.78%
MadeAgents_Hammer2.1-7b,companyName,888,original,414,2,companyName,2.14,68.20% vs 31.80%
Qwen_Qwen2.5-7B-Instruct-FC,addExample,754,original,388,2,addExample,1.94,66.02% vs 33.98%
meta-llama_Llama-3.1-8B-Instruct,increaseLength,700,original,368,2,increaseLength,1.9,65.54% vs 34.46%
MadeAgents_Hammer2.1-7b,maintenanceLine,813,original,460,2,maintenanceLine,1.77,63.86% vs 36.14%
Team-ACE_ToolACE-2-8B,addExample,658,original,381,2,addExample,1.73,63.33% vs 36.67%
Salesforce_Llama-xLAM-2-8b-fc-r,addExample,674,original,439,2,addExample,1.54,60.56% vs 39.44%
meta-llama_Llama-3.1-8B-Instruct,companyName,711,original,498,2,companyName,1.43,58.81% vs 41.19%
Qwen_Qwen2.5-7B-Instruct-FC,increaseLength,631,original,508,2,increaseLength,1.24,55.40% vs 44.60%
Salesforce_Llama-xLAM-2-8b-fc-r,maintenanceLine,673,original,559,2,maintenanceLine,1.2,54.63% vs 45.37%
Salesforce_Llama-xLAM-2-8b-fc-r,numbersLine,744,original,620,2,numbersLine,1.2,54.55% vs 45.45%
meta-llama_Llama-3.1-8B-Instruct,numbersLine,664,original,554,2,numbersLine,1.2,54.52% vs 45.48%
Salesforce_Llama-xLAM-2-8b-fc-r,companyName,730,original,612,2,companyName,1.19,54.40% vs 45.60%
MadeAgents_Hammer2.1-7b,numbersLine,724,original,611,2,numbersLine,1.18,54.23% vs 45.77%
