model,mode_1,count_1,mode_2,count_2,total_pairs,winner,ratio,proportions
meta-llama_Llama-3.1-8B-Instruct,endorsementLine,1117,original,31,2,endorsementLine,36.03,97.30% vs 2.70%
meta-llama_Llama-3.1-8B-Instruct,fusion,360,original,43,2,fusion,8.37,89.33% vs 10.67%
meta-llama_Llama-3.1-8B-Instruct,addExample,663,original,294,2,addExample,2.26,69.28% vs 30.72%
meta-llama_Llama-3.1-8B-Instruct,maintenanceLine,807,original,376,2,maintenanceLine,2.15,68.22% vs 31.78%
meta-llama_Llama-3.1-8B-Instruct,increaseLength,700,original,368,2,increaseLength,1.9,65.54% vs 34.46%
meta-llama_Llama-3.1-8B-Instruct,companyName,711,original,498,2,companyName,1.43,58.81% vs 41.19%
meta-llama_Llama-3.1-8B-Instruct,numbersLine,664,original,554,2,numbersLine,1.2,54.52% vs 45.48%
meta-llama_Llama-3.1-8B-Instruct,makeCasual,624,original,545,2,makeCasual,1.14,53.38% vs 46.62%
meta-llama_Llama-3.1-8B-Instruct,makeProfessional,615,original,557,2,makeProfessional,1.1,52.47% vs 47.53%
meta-llama_Llama-3.1-8B-Instruct,endorsementLine,1097,makeProfessional,45,2,endorsementLine,24.38,96.06% vs 3.94%
meta-llama_Llama-3.1-8B-Instruct,endorsementLine,1098,makeCasual,56,2,endorsementLine,19.61,95.15% vs 4.85%
meta-llama_Llama-3.1-8B-Instruct,companyName,70,endorsementLine,1096,2,endorsementLine,15.66,6.00% vs 94.00%
meta-llama_Llama-3.1-8B-Instruct,endorsementLine,1091,maintenanceLine,70,2,endorsementLine,15.59,93.97% vs 6.03%
meta-llama_Llama-3.1-8B-Instruct,endorsementLine,1098,numbersLine,71,2,endorsementLine,15.46,93.93% vs 6.07%
meta-llama_Llama-3.1-8B-Instruct,fusion,459,increaseLength,48,2,fusion,9.56,90.53% vs 9.47%
meta-llama_Llama-3.1-8B-Instruct,fusion,424,makeCasual,45,2,fusion,9.42,90.41% vs 9.59%
meta-llama_Llama-3.1-8B-Instruct,fusion,389,makeProfessional,47,2,fusion,8.28,89.22% vs 10.78%
meta-llama_Llama-3.1-8B-Instruct,endorsementLine,963,increaseLength,129,2,endorsementLine,7.47,88.19% vs 11.81%
meta-llama_Llama-3.1-8B-Instruct,companyName,52,fusion,368,2,fusion,7.08,12.38% vs 87.62%
meta-llama_Llama-3.1-8B-Instruct,fusion,316,maintenanceLine,47,2,fusion,6.72,87.05% vs 12.95%
meta-llama_Llama-3.1-8B-Instruct,fusion,375,numbersLine,57,2,fusion,6.58,86.81% vs 13.19%
meta-llama_Llama-3.1-8B-Instruct,addExample,55,fusion,343,2,fusion,6.24,13.82% vs 86.18%
meta-llama_Llama-3.1-8B-Instruct,addExample,172,endorsementLine,881,2,endorsementLine,5.12,16.33% vs 83.67%
meta-llama_Llama-3.1-8B-Instruct,addExample,683,numbersLine,306,2,addExample,2.23,69.06% vs 30.94%
meta-llama_Llama-3.1-8B-Instruct,addExample,598,increaseLength,292,2,addExample,2.05,67.19% vs 32.81%
meta-llama_Llama-3.1-8B-Instruct,addExample,664,makeCasual,343,2,addExample,1.94,65.94% vs 34.06%
meta-llama_Llama-3.1-8B-Instruct,maintenanceLine,775,makeProfessional,402,2,maintenanceLine,1.93,65.85% vs 34.15%
meta-llama_Llama-3.1-8B-Instruct,addExample,643,makeProfessional,344,2,addExample,1.87,65.15% vs 34.85%
meta-llama_Llama-3.1-8B-Instruct,increaseLength,692,makeCasual,375,2,increaseLength,1.85,64.85% vs 35.15%
meta-llama_Llama-3.1-8B-Instruct,increaseLength,697,makeProfessional,378,2,increaseLength,1.84,64.84% vs 35.16%
meta-llama_Llama-3.1-8B-Instruct,maintenanceLine,758,makeCasual,425,2,maintenanceLine,1.78,64.07% vs 35.93%
meta-llama_Llama-3.1-8B-Instruct,increaseLength,683,numbersLine,398,2,increaseLength,1.72,63.18% vs 36.82%
meta-llama_Llama-3.1-8B-Instruct,addExample,612,companyName,389,2,addExample,1.57,61.14% vs 38.86%
meta-llama_Llama-3.1-8B-Instruct,companyName,432,increaseLength,634,2,increaseLength,1.47,40.53% vs 59.47%
meta-llama_Llama-3.1-8B-Instruct,addExample,587,maintenanceLine,424,2,addExample,1.38,58.06% vs 41.94%
meta-llama_Llama-3.1-8B-Instruct,companyName,675,makeProfessional,545,2,companyName,1.24,55.33% vs 44.67%
meta-llama_Llama-3.1-8B-Instruct,endorsementLine,202,fusion,164,2,endorsementLine,1.23,55.19% vs 44.81%
meta-llama_Llama-3.1-8B-Instruct,companyName,570,maintenanceLine,666,2,maintenanceLine,1.17,46.12% vs 53.88%
meta-llama_Llama-3.1-8B-Instruct,increaseLength,593,maintenanceLine,508,2,increaseLength,1.17,53.86% vs 46.14%
meta-llama_Llama-3.1-8B-Instruct,companyName,641,makeCasual,569,2,companyName,1.13,52.98% vs 47.02%
meta-llama_Llama-3.1-8B-Instruct,makeProfessional,580,numbersLine,642,2,numbersLine,1.11,47.46% vs 52.54%
meta-llama_Llama-3.1-8B-Instruct,makeCasual,587,numbersLine,637,2,tie,1.09,47.96% vs 52.04%
meta-llama_Llama-3.1-8B-Instruct,companyName,606,numbersLine,648,2,tie,1.07,48.33% vs 51.67%
meta-llama_Llama-3.1-8B-Instruct,makeCasual,606,makeProfessional,576,2,tie,1.05,51.27% vs 48.73%
meta-llama_Llama-3.1-8B-Instruct,maintenanceLine,636,numbersLine,615,2,tie,1.03,50.84% vs 49.16%
