model,mode_1,count_1,mode_2,count_2,total_pairs,winner,ratio,proportions,p_value,significant
o1-2024-12-17-FC,endorsementLine,1126,original,44,2,endorsementLine,25.590,96.24% vs 3.76%,0.00e+00,True
o1-2024-12-17-FC,maintenanceLine,1096,original,79,2,maintenanceLine,13.870,93.28% vs 6.72%,0.00e+00,True
o1-2024-12-17-FC,companyName,752,original,403,2,companyName,1.870,65.11% vs 34.89%,8.69e-48,True
o1-2024-12-17-FC,addExample,743,original,405,2,addExample,1.830,64.72% vs 35.28%,3.40e-45,True
o1-2024-12-17-FC,increaseLength,736,original,420,2,increaseLength,1.750,63.67% vs 36.33%,1.85e-39,True
o1-2024-12-17-FC,fusion,708,original,439,2,fusion,1.610,61.73% vs 38.27%,2.82e-29,True
o1-2024-12-17-FC,makeCasual,658,original,507,2,makeCasual,1.300,56.48% vs 43.52%,3.94e-10,True
o1-2024-12-17-FC,makeProfessional,630,original,541,2,makeProfessional,1.160,53.80% vs 46.20%,2.35e-04,True
o1-2024-12-17-FC,numbersLine,625,original,539,2,numbersLine,1.160,53.69% vs 46.31%,3.64e-04,True
o1-2024-12-17-FC,endorsementLine,1089,makeProfessional,80,2,endorsementLine,13.610,93.16% vs 6.84%,0.00e+00,True
o1-2024-12-17-FC,endorsementLine,1079,numbersLine,88,2,endorsementLine,12.260,92.46% vs 7.54%,0.00e+00,True
o1-2024-12-17-FC,endorsementLine,1080,makeCasual,101,2,endorsementLine,10.690,91.45% vs 8.55%,0.00e+00,True
o1-2024-12-17-FC,endorsementLine,1011,increaseLength,142,2,endorsementLine,7.120,87.68% vs 12.32%,7.95e-287,True
o1-2024-12-17-FC,maintenanceLine,985,makeCasual,169,2,maintenanceLine,5.830,85.36% vs 14.64%,6.07e-253,True
o1-2024-12-17-FC,maintenanceLine,983,makeProfessional,181,2,maintenanceLine,5.430,84.45% vs 15.55%,2.49e-242,True
o1-2024-12-17-FC,companyName,183,endorsementLine,973,2,endorsementLine,5.320,15.83% vs 84.17%,8.29e-237,True
o1-2024-12-17-FC,addExample,182,endorsementLine,961,2,endorsementLine,5.280,15.92% vs 84.08%,6.50e-233,True
o1-2024-12-17-FC,maintenanceLine,966,numbersLine,198,2,maintenanceLine,4.880,82.99% vs 17.01%,2.15e-222,True
o1-2024-12-17-FC,fusion,929,increaseLength,225,2,fusion,4.130,80.50% vs 19.50%,8.22e-189,True
o1-2024-12-17-FC,companyName,259,maintenanceLine,911,2,maintenanceLine,3.520,22.14% vs 77.86%,4.74e-160,True
o1-2024-12-17-FC,addExample,275,maintenanceLine,878,2,maintenanceLine,3.190,23.85% vs 76.15%,3.49e-139,True
o1-2024-12-17-FC,increaseLength,354,maintenanceLine,816,2,maintenanceLine,2.310,30.26% vs 69.74%,2.46e-81,True
o1-2024-12-17-FC,fusion,805,makeCasual,356,2,fusion,2.260,69.34% vs 30.66%,1.65e-77,True
o1-2024-12-17-FC,fusion,769,makeProfessional,380,2,fusion,2.020,66.93% vs 33.07%,3.12e-59,True
o1-2024-12-17-FC,addExample,731,increaseLength,437,2,addExample,1.670,62.59% vs 37.41%,4.73e-34,True
o1-2024-12-17-FC,addExample,712,makeCasual,429,2,addExample,1.660,62.40% vs 37.60%,2.19e-32,True
o1-2024-12-17-FC,increaseLength,727,makeProfessional,438,2,increaseLength,1.660,62.40% vs 37.60%,4.85e-33,True
o1-2024-12-17-FC,fusion,705,numbersLine,444,2,fusion,1.590,61.36% vs 38.64%,1.30e-27,True
o1-2024-12-17-FC,increaseLength,702,makeCasual,457,2,increaseLength,1.540,60.57% vs 39.43%,2.50e-24,True
o1-2024-12-17-FC,addExample,684,numbersLine,454,2,addExample,1.510,60.11% vs 39.89%,5.31e-22,True
o1-2024-12-17-FC,companyName,461,fusion,689,2,fusion,1.490,40.09% vs 59.91%,1.94e-21,True
o1-2024-12-17-FC,companyName,670,makeProfessional,493,2,companyName,1.360,57.61% vs 42.39%,2.14e-13,True
o1-2024-12-17-FC,increaseLength,668,numbersLine,494,2,increaseLength,1.350,57.49% vs 42.51%,5.25e-13,True
o1-2024-12-17-FC,fusion,662,maintenanceLine,493,2,fusion,1.340,57.32% vs 42.68%,2.03e-12,True
o1-2024-12-17-FC,addExample,653,makeProfessional,492,2,addExample,1.330,57.03% vs 42.97%,1.71e-11,True
o1-2024-12-17-FC,companyName,631,makeCasual,520,2,companyName,1.210,54.82% vs 45.18%,3.71e-06,True
o1-2024-12-17-FC,companyName,525,increaseLength,626,2,increaseLength,1.190,45.61% vs 54.39%,2.55e-05,True
o1-2024-12-17-FC,makeCasual,635,numbersLine,537,2,makeCasual,1.180,54.18% vs 45.82%,5.16e-05,True
o1-2024-12-17-FC,addExample,617,companyName,526,2,addExample,1.170,53.98% vs 46.02%,1.41e-04,True
o1-2024-12-17-FC,endorsementLine,623,maintenanceLine,545,2,endorsementLine,1.140,53.34% vs 46.66%,1.25e-03,True
o1-2024-12-17-FC,endorsementLine,608,fusion,552,2,tie,1.100,52.41% vs 47.59%,2.01e-02,False
o1-2024-12-17-FC,companyName,603,numbersLine,567,2,tie,1.060,51.54% vs 48.46%,1.37e-01,False
o1-2024-12-17-FC,makeProfessional,605,numbersLine,570,2,tie,1.060,51.49% vs 48.51%,1.49e-01,False
o1-2024-12-17-FC,addExample,572,fusion,566,2,tie,1.010,50.26% vs 49.74%,8.01e-01,False
o1-2024-12-17-FC,makeCasual,585,makeProfessional,588,2,tie,1.010,49.87% vs 50.13%,9.01e-01,False
